epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
87,16413.4,0.85182,0.669,1.0745,0.0198,0.74996,0.54414,0.62636,0.49498,0.80427,0.62036,1.05651,0.01342,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,16603.8,0.84957,0.66633,1.07358,0.0195,0.75145,0.54459,0.62669,0.49516,0.80408,0.61998,1.05645,0.01342,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,16795.1,0.85149,0.66585,1.07568,0.01988,0.74965,0.54561,0.62689,0.49547,0.80404,0.61936,1.0565,0.0134,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,16985.4,0.84971,0.66598,1.07442,0.01965,0.74649,0.54724,0.62696,0.49589,0.8039,0.61934,1.05639,0.0134,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,17176.4,0.85561,0.67363,1.07548,0.02008,0.74509,0.54749,0.62747,0.49634,0.80355,0.61878,1.0562,0.01338,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,17366.3,0.8519,0.66381,1.07518,0.01987,0.7448,0.54788,0.62753,0.49645,0.80348,0.61857,1.05611,0.01337,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,17554.5,0.84669,0.6599,1.0733,0.01973,0.74244,0.55043,0.62812,0.49674,0.80329,0.61799,1.05604,0.01336,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,17742.9,0.85086,0.66535,1.07077,0.01977,0.74008,0.55203,0.62846,0.49712,0.80318,0.61773,1.05596,0.01336,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,17931.1,0.84867,0.66076,1.07211,0.01966,0.74072,0.55248,0.62817,0.49703,0.80305,0.61758,1.0558,0.01335,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,18118.7,0.84571,0.65591,1.07225,0.0194,0.74297,0.55199,0.62863,0.49719,0.80284,0.61711,1.05578,0.01335,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,18306.4,0.84888,0.66008,1.0754,0.01976,0.7415,0.55309,0.62857,0.49714,0.80278,0.6168,1.0557,0.01333,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,18493.9,0.84372,0.65709,1.07136,0.01941,0.73945,0.55389,0.62878,0.4973,0.80263,0.61632,1.05567,0.01331,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,18682.3,0.84199,0.65594,1.06939,0.01929,0.74331,0.55277,0.62864,0.49744,0.80237,0.6162,1.05552,0.01329,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,18870.7,0.84568,0.65779,1.06993,0.01954,0.74393,0.55305,0.62908,0.4979,0.80235,0.61572,1.05539,0.01329,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,19059.7,0.84394,0.65735,1.07134,0.01935,0.74511,0.55352,0.62937,0.49836,0.80226,0.61551,1.05528,0.01327,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,19246.8,0.83721,0.64895,1.06843,0.01904,0.74737,0.55404,0.62994,0.49899,0.80215,0.61559,1.05526,0.01328,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
103,19434.9,0.83699,0.64944,1.06644,0.0191,0.7465,0.55447,0.63025,0.49909,0.80219,0.61541,1.05511,0.01326,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,19624.5,0.83904,0.65033,1.07014,0.01894,0.74615,0.55438,0.63032,0.49907,0.80238,0.61511,1.05508,0.01324,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,19812.6,0.8413,0.65123,1.0672,0.01913,0.74618,0.555,0.63079,0.49963,0.80238,0.61488,1.05505,0.01324,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
106,20001.3,0.83794,0.64802,1.06641,0.01905,0.74694,0.5545,0.63097,0.4999,0.80219,0.6148,1.05494,0.01323,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
107,20190.6,0.83555,0.64789,1.06672,0.01908,0.74513,0.55422,0.63104,0.49992,0.80229,0.61477,1.05501,0.01323,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
108,20379.2,0.83579,0.64526,1.06692,0.01899,0.7477,0.55288,0.63092,0.49974,0.80247,0.61437,1.05507,0.01322,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938
109,20567.6,0.83409,0.64303,1.06571,0.01881,0.74692,0.55414,0.63111,0.49984,0.80247,0.61404,1.05494,0.01322,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
110,20754.9,0.8373,0.64256,1.06684,0.01902,0.74566,0.55467,0.63127,0.49993,0.80227,0.61373,1.05487,0.0132,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806
111,20943.5,0.83445,0.6401,1.06529,0.01875,0.74574,0.5546,0.6315,0.5004,0.80228,0.61371,1.05479,0.0132,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
112,21131,0.83309,0.63985,1.06615,0.01865,0.74659,0.55511,0.63173,0.5005,0.80222,0.61332,1.05475,0.0132,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
113,21318.7,0.829,0.63618,1.06313,0.01863,0.74621,0.55602,0.63216,0.50095,0.80199,0.61284,1.05455,0.01318,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608
114,21506.6,0.82914,0.6376,1.06423,0.01879,0.74565,0.55594,0.63247,0.50135,0.80181,0.61271,1.05452,0.01319,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542
115,21694.5,0.8321,0.63801,1.06423,0.01891,0.74592,0.55521,0.63278,0.5016,0.80175,0.61245,1.05435,0.01319,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
116,21882.1,0.82929,0.63808,1.06462,0.01879,0.74771,0.55496,0.63308,0.50155,0.80184,0.61211,1.05438,0.01319,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
117,22071.8,0.83028,0.63599,1.06409,0.01856,0.74703,0.55552,0.6332,0.50174,0.80166,0.61178,1.05435,0.01318,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344
118,22260.4,0.82862,0.63333,1.06458,0.01871,0.74594,0.5559,0.63371,0.50225,0.80162,0.61139,1.05438,0.01318,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
119,22448,0.82532,0.63184,1.0629,0.01852,0.74567,0.55643,0.63395,0.50217,0.80144,0.61137,1.05422,0.01317,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212
120,22636.3,0.82503,0.62967,1.06247,0.01855,0.74288,0.55868,0.63377,0.50228,0.80132,0.6113,1.05416,0.01317,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146
121,22824.4,0.82446,0.6296,1.05997,0.0186,0.7356,0.56078,0.63431,0.50291,0.80126,0.61113,1.05412,0.01317,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
122,23013.6,0.82751,0.6324,1.06365,0.01867,0.73865,0.56029,0.63465,0.50304,0.80112,0.6111,1.05403,0.01315,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014
123,23200.9,0.82362,0.63165,1.06148,0.01823,0.73985,0.56003,0.63494,0.50371,0.80104,0.61077,1.05389,0.01315,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948
124,23390.3,0.82167,0.62534,1.05959,0.01826,0.74052,0.5603,0.6353,0.50329,0.80085,0.61052,1.05383,0.01313,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
