epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,19920.9,0.72864,0.55347,1.00413,0.01409,0.76112,0.63733,0.70018,0.5881,0.65517,0.47754,0.97184,0.00799,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,20329.4,0.73023,0.56036,1.00712,0.01418,0.76041,0.63669,0.70066,0.58847,0.65492,0.47704,0.97163,0.00798,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,20755.4,0.72894,0.55366,1.00525,0.01427,0.76166,0.63556,0.70067,0.58838,0.65461,0.47697,0.9714,0.00798,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,21162.2,0.7248,0.5517,1.0035,0.01387,0.76093,0.63515,0.70112,0.58876,0.65438,0.47648,0.97126,0.00797,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,21558.6,0.72578,0.55149,1.00405,0.01386,0.75692,0.63796,0.70176,0.58906,0.65414,0.47621,0.97114,0.00797,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,21948.3,0.72217,0.54895,1.00281,0.01383,0.76562,0.63027,0.70177,0.58987,0.65411,0.47632,0.97111,0.00796,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,22348.1,0.72421,0.54658,1.00516,0.01381,0.77037,0.6264,0.70205,0.59016,0.65393,0.47612,0.97103,0.00796,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,22740.8,0.72243,0.54549,1.00413,0.01371,0.76944,0.62711,0.70183,0.5903,0.65376,0.47608,0.97104,0.00796,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,23154.9,0.72079,0.54279,1.00194,0.01364,0.77201,0.62459,0.70176,0.59016,0.65364,0.47553,0.971,0.00796,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,23544.9,0.7184,0.54252,0.99945,0.01354,0.77375,0.62313,0.70184,0.59031,0.65356,0.47547,0.97098,0.00795,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,23949.3,0.71807,0.54162,1.00114,0.0134,0.77732,0.62244,0.70204,0.5904,0.65347,0.47512,0.97091,0.00794,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,24323.7,0.71681,0.5405,1.00057,0.01335,0.77608,0.62384,0.70225,0.59111,0.65351,0.47495,0.97099,0.00795,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,24717.9,0.71662,0.53835,1.00184,0.01338,0.77927,0.62353,0.70257,0.59157,0.65334,0.47463,0.9709,0.00795,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,25111.3,0.71579,0.53864,1.00079,0.0133,0.77136,0.62922,0.70334,0.59208,0.65312,0.47423,0.97073,0.00794,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,25486.1,0.71455,0.53786,0.99957,0.01318,0.77629,0.62766,0.70387,0.59263,0.65304,0.47408,0.97071,0.00794,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,25875.3,0.71391,0.53644,0.99926,0.01329,0.76255,0.63599,0.70415,0.593,0.65293,0.4737,0.97062,0.00793,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,26271.1,0.71668,0.53671,1.00068,0.01332,0.76567,0.63482,0.70435,0.59311,0.65266,0.47366,0.97058,0.00793,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,26670.3,0.71239,0.53078,0.99908,0.01306,0.76598,0.6355,0.70466,0.59367,0.65242,0.47346,0.97048,0.00793,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,27065.5,0.71105,0.53164,1.00044,0.01307,0.76624,0.63581,0.70475,0.59374,0.65229,0.47319,0.9704,0.00793,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
